Project,Client,Title,Duration
SOS1819-09,,"#1 Haber completado el perfil (nombre, apellidos y fotografía) en la herramienta Piazza",00:14:57
SOS1819-09,,#2 Tareas de Gauthier,04:26:30
SOS1819-09,,#2 Togll,00:00:25
SOS1819-09,,#3 Instalar Chrome,00:10:09
SOS1819-09,,#4 Cambiar el readme,00:02:28
SOS1819-09,,#4 Tareas F03 de Gauthier,07:22:27
SOS1819-09,,#5 Tereas F03 de Giuseppe,06:59:14
SOS1819-09,,#7 Tereas F04 de Giuseppe,08:28:36
SOS1819-09,,Feedback F05,06:54:10
SOS1819-09,,Feedback F06,04:56:33
SOS1819-09,,Feedback F07,07:19:57
SOS1819-09,,Feedback F08,08:32:30
SOS1819-09,,L05 mirando en youtube,00:37:46
SOS1819-09,,Tarea Feedback F04,06:57:20
SOS1819-09,,Tarea para el Feedback,07:11:21
SOS1819-09,,Tareas D01,04:27:26
SOS1819-09,,Tareas D01 bis,01:11:56
SOS1819-09,,Tareas D02 de Gauthier,06:26:57
SOS1819-09,,Tareas D03 de Gauthier : Analytics,02:16:23
SOS1819-09,,Tareas D03 de Gauthier : Buscando una visualizacion : ZingChart,01:46:25
SOS1819-09,,Tareas D03 de Gauthier : D3.js,05:05:43
SOS1819-09,,Tareas D03 de Gauthier : Docker,01:55:27
SOS1819-09,,Tareas D03 de Gauthier : Integracion SOS,03:32:44
SOS1819-09,,Tareas D03 de Gauthier : Uso de ZingChart,01:55:12
SOS1819-09,,Tareas D03 de Gauthier : Visualizacion,03:53:11
SOS1819-09,,Tareas del Feedback Emma,05:31:17
SOS1819-09,,Tareas F04 de Gauthier,04:25:12
SOS1819-09,,Tareas F06 de Gauthier,04:38:42
SOS1819-09,,Tareas F07 de Gauthier,04:14:21
SOS1819-09,,Tareas F07 de Gauthier bis,01:34:35
